NO_OF_FRAMES	2000
NO_OF_CAMERAS	10
NO_OF_MARKERS	16
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2026-01-19, 10:24:53.089	2063941.29639670
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005	New 0006	New 0007	New 0008	New 0009	New 0010	New 0011	New 0012	New 0013	New 0014	New 0015
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	New 0006 X	New 0006 Y	New 0006 Z	New 0007 X	New 0007 Y	New 0007 Z	New 0008 X	New 0008 Y	New 0008 Z	New 0009 X	New 0009 Y	New 0009 Z	New 0010 X	New 0010 Y	New 0010 Z	New 0011 X	New 0011 Y	New 0011 Z	New 0012 X	New 0012 Y	New 0012 Z	New 0013 X	New 0013 Y	New 0013 Z	New 0014 X	New 0014 Y	New 0014 Z	New 0015 X	New 0015 Y	New 0015 Z	
33	0.32000	520.743	-17.355	1454.789	829.796	223.782	22.533	746.600	150.122	527.117	909.724	155.805	55.272	905.940	-210.258	61.211	1261.952	-2.317	1467.332	638.654	120.634	79.623	678.863	-193.658	965.391	623.209	133.343	1505.159	622.776	-169.350	1488.958	641.913	-154.510	78.047	821.169	-272.472	24.059	688.712	-216.379	96.957	691.947	173.192	99.380	723.087	-184.818	521.216	670.340	172.161	981.709
34	0.33000	520.618	-17.353	1454.742	829.804	223.790	22.556	746.627	150.126	527.135	909.726	155.806	55.255	905.943	-210.259	61.184	1261.825	-2.311	1467.364	638.657	120.644	79.657	678.805	-193.674	965.388	623.094	133.343	1505.135	622.640	-169.324	1488.974	641.900	-154.496	78.050	821.180	-272.453	24.092	688.709	-216.336	96.887	691.959	173.187	99.385	723.070	-184.862	521.252	670.307	172.159	981.667
35	0.34000	520.503	-17.326	1454.711	829.793	223.793	22.537	746.641	150.145	527.168	909.710	155.791	55.269	905.939	-210.284	61.191	1261.454	-1.989	1468.110	638.664	120.643	79.660	678.745	-193.665	965.414	622.964	133.350	1505.122	622.499	-169.309	1488.985	641.868	-154.514	78.032	821.170	-272.507	24.119	688.714	-216.375	96.949	691.970	173.179	99.384	723.092	-185.071	521.397	670.293	172.167	981.681
36	0.35000	520.389	-17.323	1454.674	829.795	223.777	22.555	746.647	150.163	527.184	909.726	155.802	55.261	905.960	-210.286	61.189	1261.324	-1.981	1468.199	638.659	120.625	79.629	678.682	-193.646	965.444	622.877	133.381	1505.088	622.352	-169.278	1488.959	641.914	-154.516	78.053	821.199	-272.484	24.106	688.709	-216.350	96.938	691.961	173.157	99.369	723.098	-185.001	521.342	670.243	172.172	981.665
37	0.36000	520.270	-17.297	1454.636	829.804	223.776	22.515	746.607	150.129	527.179	909.726	155.794	55.255	905.949	-210.291	61.188	1261.453	-2.285	1467.680	638.661	120.617	79.659	678.642	-193.621	965.426	622.741	133.380	1505.168	622.208	-169.261	1488.976	641.907	-154.497	78.069	821.198	-272.510	24.086	688.718	-216.371	96.963	691.964	173.166	99.385	723.095	-184.926	521.305	670.215	172.167	981.657
38	0.37000	520.134	-17.276	1454.620	829.797	223.798	22.551	746.598	150.126	527.166	909.724	155.788	55.256	905.946	-210.286	61.205	1261.274	-2.287	1467.711	638.678	120.639	79.652	678.596	-193.630	965.399	622.610	133.396	1505.129	622.047	-169.239	1488.944	641.908	-154.489	78.034	821.208	-272.506	24.145	688.726	-216.347	96.926	691.958	173.172	99.398	723.056	-184.977	521.357	670.159	172.146	981.642
39	0.38000	519.993	-17.237	1454.572	829.800	223.788	22.539	746.551	150.119	527.159	909.743	155.787	55.272	905.961	-210.276	61.196	1261.110	-2.299	1467.737	638.682	120.640	79.640	678.535	-193.613	965.380	622.485	133.428	1505.067	621.916	-169.211	1488.947	641.912	-154.486	78.066	821.174	-272.498	24.053	688.714	-216.356	96.941	691.956	173.166	99.382	723.054	-185.169	521.499	670.111	172.143	981.653
40	0.39000	519.866	-17.225	1454.554	829.798	223.801	22.561	746.532	150.120	527.149	909.734	155.768	55.258	905.957	-210.279	61.189	1260.989	-2.299	1467.871	638.672	120.647	79.683	678.512	-193.626	965.374	622.349	133.402	1505.056	621.782	-169.203	1488.902	641.913	-154.501	78.069	821.198	-272.520	24.052	688.728	-216.353	96.937	691.969	173.166	99.381	723.063	-184.918	521.300	670.068	172.151	981.623
41	0.40000	519.762	-17.208	1454.531	829.798	223.776	22.526	746.525	150.146	527.159	909.732	155.791	55.279	905.957	-210.279	61.181	1260.805	-2.270	1467.969	638.665	120.632	79.655	678.436	-193.628	965.369	622.227	133.464	1505.030	621.655	-169.201	1488.899	641.919	-154.487	78.055	821.211	-272.469	24.082	688.711	-216.371	96.928	691.958	173.185	99.393	723.031	-185.038	521.430	670.007	172.142	981.645
42	0.41000	519.660	-17.181	1454.493	829.791	223.787	22.543	746.503	150.119	527.148	909.749	155.794	55.257	905.967	-210.273	61.180	1260.686	-2.238	1468.152	638.699	120.621	79.653	678.351	-193.653	965.372	622.093	133.483	1504.978	621.518	-169.149	1488.870	641.928	-154.500	78.053	821.187	-272.451	24.099	688.724	-216.384	96.925	691.969	173.168	99.385	723.051	-184.945	521.307	669.954	172.143	981.607
