NO_OF_FRAMES	2000
NO_OF_CAMERAS	10
NO_OF_MARKERS	15
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2026-01-19, 10:19:43.755	2063631.96175450
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0002	New 0003	New 0004	New 0005	New 0006	New 0007	New 0008	New 0009	New 0010	New 0011	New 0012	New 0013	New 0014	New 0015
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	New 0000 X	New 0000 Y	New 0000 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	New 0006 X	New 0006 Y	New 0006 Z	New 0007 X	New 0007 Y	New 0007 Z	New 0008 X	New 0008 Y	New 0008 Z	New 0009 X	New 0009 Y	New 0009 Z	New 0010 X	New 0010 Y	New 0010 Z	New 0011 X	New 0011 Y	New 0011 Z	New 0012 X	New 0012 Y	New 0012 Z	New 0013 X	New 0013 Y	New 0013 Z	New 0014 X	New 0014 Y	New 0014 Z	New 0015 X	New 0015 Y	New 0015 Z	
33	0.32000	819.844	277.884	22.318	694.591	-183.143	97.454	734.424	-170.832	964.127	630.659	12.751	1478.693	687.558	219.614	101.804	759.344	188.214	525.202	733.745	-139.166	1501.575	903.831	214.504	55.369	634.174	165.861	81.151	830.426	-228.769	24.440	722.900	177.647	1500.411	642.470	-126.517	78.628	745.214	-151.635	516.291	712.435	200.135	979.024	909.528	-159.975	61.175
34	0.33000	819.848	277.876	22.321	694.596	-183.160	97.499	734.295	-170.819	964.157	630.701	12.833	1478.732	687.547	219.609	101.793	759.322	188.229	525.217	733.805	-139.090	1501.674	903.830	214.504	55.353	634.154	165.843	81.165	830.455	-228.720	24.513	722.913	177.706	1500.377	642.466	-126.477	78.667	745.180	-151.582	516.253	712.432	200.112	979.030	909.525	-159.963	61.209
35	0.34000	819.845	277.882	22.304	694.594	-183.138	97.486	734.178	-170.766	964.156	630.729	12.914	1478.771	687.549	219.592	101.794	759.305	188.204	525.183	733.881	-139.002	1501.764	903.815	214.486	55.337	634.172	165.845	81.158	830.444	-228.795	24.436	722.952	177.767	1500.406	642.476	-126.526	78.676	745.124	-151.654	516.281	712.432	200.105	979.001	909.520	-159.963	61.210
36	0.35000	819.852	277.890	22.302	694.587	-183.160	97.472	734.045	-170.788	964.204	630.794	13.014	1478.863	687.549	219.588	101.771	759.251	188.211	525.213	733.916	-138.930	1501.850	903.815	214.524	55.381	634.165	165.867	81.157	830.456	-228.730	24.501	723.034	177.878	1500.347	642.465	-126.494	78.651	745.037	-151.760	516.373	712.412	200.100	978.996	909.515	-159.969	61.223
37	0.36000	819.848	277.876	22.306	694.590	-183.172	97.515	733.911	-170.801	964.170	630.836	13.152	1478.910	687.543	219.612	101.787	759.220	188.211	525.226	733.995	-138.852	1501.937	903.820	214.530	55.359	634.157	165.877	81.147	830.450	-228.724	24.550	723.058	177.963	1500.400	642.453	-126.505	78.613	744.951	-151.766	516.375	712.396	200.073	978.965	909.511	-159.963	61.246
38	0.37000	819.852	277.874	22.321	694.576	-183.162	97.491	733.784	-170.837	964.187	630.874	13.226	1478.950	687.545	219.597	101.757	759.184	188.193	525.260	734.045	-138.755	1501.988	903.838	214.517	55.380	634.145	165.880	81.140	830.473	-228.715	24.498	723.093	178.042	1500.383	642.458	-126.491	78.649	744.864	-151.957	516.505	712.381	200.087	978.962	909.522	-159.977	61.225
39	0.38000	819.854	277.871	22.299	694.573	-183.188	97.510	733.659	-170.836	964.208	630.913	13.346	1479.027	687.556	219.591	101.735	759.157	188.159	525.230	734.120	-138.711	1502.050	903.830	214.499	55.344	634.172	165.875	81.142	830.498	-228.725	24.576	723.141	178.152	1500.396	642.478	-126.472	78.674	744.763	-151.977	516.520	712.356	200.039	978.951	909.523	-159.965	61.251
40	0.39000	819.858	277.878	22.320	694.570	-183.185	97.515	733.542	-170.819	964.231	630.950	13.423	1479.055	687.521	219.618	101.752	759.095	188.169	525.240	734.158	-138.650	1502.129	903.840	214.505	55.378	634.148	165.877	81.107	830.459	-228.704	24.509	723.166	178.233	1500.331	642.464	-126.520	78.631	744.661	-152.073	516.577	712.329	200.020	978.928	909.514	-159.984	61.253
41	0.40000	819.862	277.893	22.308	694.557	-183.158	97.498	733.456	-170.825	964.225	630.988	13.539	1479.080	687.521	219.602	101.736	759.032	188.148	525.203	734.191	-138.586	1502.151	903.833	214.501	55.401	634.135	165.869	81.131	830.466	-228.735	24.540	723.166	178.303	1500.383	642.461	-126.496	78.621	744.508	-151.944	516.510	712.268	200.007	978.937	909.505	-159.990	61.258
42	0.41000	819.849	277.868	22.305	694.532	-183.198	97.514	733.353	-170.857	964.242	631.001	13.581	1479.083	687.510	219.607	101.737	758.953	188.162	525.216	734.203	-138.530	1502.197	903.825	214.476	55.376	634.157	165.862	81.117	830.444	-228.742	24.522	723.200	178.392	1500.359	642.468	-126.512	78.609	744.428	-152.177	516.690	712.230	199.998	978.950	909.508	-160.002	61.265
43	0.42000	819.843	277.856	22.324	694.546	-183.175	97.495	733.252	-170.855	964.222	631.020	13.672	1479.103	687.497	219.579	101.713	758.884	188.193	525.237	734.220	-138.483	1502.278	903.815	214.493	55.387	634.132	165.871	81.097	830.422	-228.775	24.431	723.194	178.448	1500.328	642.476	-126.517	78.671	744.367	-151.907	516.442	712.166	199.984	978.922	909.500	-159.993	61.273
44	0.43000	819.858	277.859	22.323	694.522	-183.192	97.460	733.106	-170.865	964.244	631.000	13.726	1479.147	687.506	219.602	101.728	758.805	188.118	525.164	734.251	-138.456	1502.323	903.807	214.505	55.394	634.140	165.856	81.107	830.483	-228.803	24.509	723.194	178.514	1500.380	642.465	-126.511	78.626	744.277	-152.063	516.588	712.144	199.956	978.899	909.490	-160.013	61.253
45	0.44000	819.839	277.865	22.314	694.539	-183.163	97.465	732.972	-170.823	964.278	631.027	13.782	1479.165	687.506	219.596	101.707	758.744	188.108	525.187	734.256	-138.392	1502.412	903.817	214.493	55.386	634.129	165.886	81.106	830.481	-228.751	24.537	723.183	178.561	1500.325	642.470	-126.499	78.635	744.215	-152.083	516.611	712.098	199.955	978.896	909.491	-160.020	61.255
46	0.45000	819.854	277.863	22.296	694.550	-183.160	97.466	732.868	-170.807	964.297	631.002	13.830	1479.178	687.491	219.609	101.709	758.684	188.125	525.207	734.232	-138.327	1502.483	903.803	214.483	55.361	634.122	165.896	81.086	830.483	-228.701	24.534	723.149	178.594	1500.381	642.445	-126.488	78.655	744.173	-151.917	516.428	712.031	199.960	978.881	909.491	-160.028	61.264
47	0.46000	819.838	277.859	22.310	694.514	-183.136	97.432	732.773	-170.779	964.292	631.011	13.936	1479.198	687.494	219.614	101.700	758.643	188.130	525.230	734.214	-138.240	1502.568	903.812	214.477	55.403	634.119	165.893	81.097	830.465	-228.726	24.511	723.124	178.646	1500.314	642.473	-126.474	78.605	744.133	-152.021	516.531	711.967	199.969	978.926	909.498	-160.006	61.280
48	0.47000	819.849	277.854	22.278	694.502	-183.158	97.486	732.709	-170.747	964.282	630.993	13.958	1479.194	687.500	219.605	101.699	758.592	188.170	525.264	734.193	-138.192	1502.663	903.811	214.494	55.407	634.114	165.885	81.116	830.501	-228.763	24.490	723.050	178.689	1500.310	642.486	-126.484	78.625	744.104	-152.031	516.501	711.925	199.997	978.958	909.490	-159.999	61.289
49	0.48000	819.850	277.879	22.317	694.510	-183.190	97.504	732.671	-170.740	964.317	630.955	14.029	1479.182	687.485	219.615	101.709	758.516	188.184	525.253	734.156	-138.136	1502.755	903.797	214.517	55.409	634.104	165.877	81.104	830.492	-228.741	24.535	722.972	178.727	1500.288	642.463	-126.476	78.625	744.076	-151.668	516.185	711.861	200.013	978.969	909.487	-159.999	61.295
50	0.49000	819.834	277.863	22.292	694.512	-183.192	97.515	732.623	-170.709	964.306	630.925	14.055	1479.217	687.476	219.612	101.695	758.450	188.187	525.272	734.151	-138.097	1502.899	903.805	214.471	55.407	634.088	165.903	81.109	830.487	-228.738	24.550	722.912	178.790	1500.202	642.464	-126.477	78.572	744.020	-152.139	516.577	711.791	200.015	979.018	909.482	-160.017	61.297
51	0.50000	819.842	277.862	22.322	694.485	-183.179	97.447	732.584	-170.712	964.324	630.874	14.084	1479.180	687.460	219.618	101.708	758.398	188.219	525.282	734.116	-138.038	1502.976	903.792	214.493	55.440	634.102	165.888	81.087	830.456	-228.743	24.591	722.837	178.831	1500.227	642.453	-126.523	78.626	743.985	-152.297	516.677	711.730	200.005	979.059	909.483	-160.016	61.314
52	0.51000	819.841	277.872	22.324	694.496	-183.179	97.484	732.570	-170.672	964.298	630.844	14.092	1479.183	687.445	219.629	101.700	758.318	188.207	525.242	734.081	-137.995	1503.050	903.787	214.488	55.404	634.106	165.924	81.085	830.491	-228.713	24.518	722.722	178.867	1500.232	642.464	-126.490	78.594	743.957	-152.130	516.574	711.662	200.041	979.074	909.471	-160.005	61.309
53	0.52000	819.866	277.878	22.312	694.490	-183.167	97.446	732.550	-170.661	964.292	630.808	14.133	1479.169	687.437	219.618	101.676	758.245	188.244	525.235	734.036	-137.933	1503.133	903.785	214.483	55.428	634.105	165.894	81.064	830.490	-228.741	24.577	722.579	178.921	1500.110	642.464	-126.490	78.600	743.935	-152.114	516.544	711.558	200.019	979.086	909.483	-159.999	61.322
54	0.53000	819.850	277.867	22.313	694.504	-183.161	97.489	732.541	-170.592	964.259	630.727	14.158	1479.159	687.440	219.627	101.631	758.207	188.290	525.245	734.009	-137.922	1503.224	903.785	214.491	55.432	634.105	165.890	81.069	830.443	-228.720	24.532	722.520	178.973	1500.090	642.457	-126.482	78.567	743.904	-152.278	516.684	711.489	200.016	979.059	909.468	-160.009	61.322
55	0.54000	819.849	277.880	22.325	694.499	-183.179	97.454	732.565	-170.596	964.246	630.681	14.197	1479.138	687.451	219.635	101.633	758.135	188.302	525.243	733.968	-137.865	1503.338	903.777	214.492	55.419	634.103	165.870	81.026	830.494	-228.724	24.554	722.365	179.006	1500.050	642.472	-126.480	78.609	743.891	-151.815	516.372	711.390	200.015	979.055	909.473	-159.998	61.311
56	0.55000	819.847	277.885	22.307	694.485	-183.159	97.422	732.591	-170.577	964.227	630.588	14.189	1479.144	687.403	219.610	101.621	758.082	188.345	525.267	733.909	-137.802	1503.407	903.767	214.478	55.421	634.087	165.900	81.053	830.436	-228.755	24.379	722.230	179.028	1500.053	642.458	-126.469	78.592	743.904	-151.857	516.393	711.301	200.011	979.058	909.469	-159.984	61.333
57	0.56000	819.846	277.869	22.319	694.488	-183.188	97.452	732.627	-170.567	964.201	630.521	14.222	1479.147	687.409	219.617	101.650	758.053	188.340	525.289	733.869	-137.774	1503.510	903.751	214.494	55.441	634.079	165.910	81.054	830.432	-228.755	24.350	722.076	179.022	1500.081	642.469	-126.480	78.578	743.900	-152.227	516.640	711.192	199.999	979.048	909.476	-159.977	61.341
