NO_OF_FRAMES	2000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2026-01-20, 10:34:28
DATA_INCLUDED	Angle
DATA_TYPES	left_q1_YZ	left_q1_XZ	left_q1_XY

Frame	Time	left_q1_YZ	left_q1_XZ	left_q1_XY	
401	4.00000	7.168	-3.716	81.917
402	4.01000	7.314	-3.708	81.791
403	4.02000	7.475	-3.693	81.654
404	4.03000	7.648	-3.692	81.498
405	4.04000	7.841	-3.678	81.329
406	4.05000	8.059	-3.664	81.137
407	4.06000	8.293	-3.636	80.935
408	4.07000	8.528	-3.603	80.732
409	4.08000	8.759	-3.565	80.533
410	4.09000	8.993	-3.517	80.333
411	4.10000	9.238	-3.451	80.128
412	4.11000	9.490	-3.401	79.909
413	4.12000	9.736	-3.341	79.697
414	4.13000	9.977	-3.275	79.489
415	4.14000	10.187	-3.201	79.312
416	4.15000	10.369	-3.114	79.164
417	4.16000	10.548	-3.013	79.020
418	4.17000	10.734	-2.880	78.878
419	4.18000	10.943	-2.726	78.714
420	4.19000	11.171	-2.570	78.529
421	4.20000	11.414	-2.407	78.328
422	4.21000	11.671	-2.235	78.111
423	4.22000	11.931	-2.056	77.888
424	4.23000	12.200	-1.867	77.654
425	4.24000	12.480	-1.660	77.407
426	4.25000	12.748	-1.419	77.171
427	4.26000	13.008	-1.155	76.939
428	4.27000	13.263	-0.835	76.710
429	4.28000	13.522	-0.478	76.469
430	4.29000	13.780	-0.196	76.218
431	4.30000	14.045	0.075	75.954
432	4.31000	14.310	0.366	75.685
433	4.32000	14.584	0.674	75.399
434	4.33000	14.878	0.990	75.087
435	4.34000	15.198	1.316	74.743
436	4.35000	15.514	1.642	74.395
437	4.36000	15.816	1.971	74.056
438	4.37000	16.102	2.297	73.726
439	4.38000	16.380	2.647	73.395
440	4.39000	16.644	2.993	73.073
441	4.40000	16.916	3.343	72.738
442	4.41000	17.182	3.661	72.409
443	4.42000	17.428	3.960	72.100
444	4.43000	17.648	4.219	71.822
445	4.44000	17.863	4.463	71.551
446	4.45000	18.081	4.677	71.283
447	4.46000	18.306	4.867	71.014
448	4.47000	18.492	5.041	70.785
449	4.48000	18.663	5.200	70.574
450	4.49000	18.814	5.381	70.375
451	4.50000	18.967	5.558	70.175
452	4.51000	19.113	5.734	69.981
453	4.52000	19.249	5.918	69.793
454	4.53000	19.354	6.088	69.637
455	4.54000	19.441	6.255	69.500
456	4.55000	19.513	6.407	69.380
457	4.56000	19.575	6.550	69.273
458	4.57000	19.623	6.695	69.176
459	4.58000	19.658	6.831	69.096
460	4.59000	19.681	6.954	69.030
461	4.60000	19.679	7.082	68.985
462	4.61000	19.667	7.198	68.954
463	4.62000	19.624	7.299	68.957
464	4.63000	19.573	7.378	68.975
465	4.64000	19.507	7.457	69.007
466	4.65000	19.415	7.519	69.070
467	4.66000	19.312	7.579	69.142
468	4.67000	19.191	7.624	69.239
469	4.68000	19.071	7.645	69.343
470	4.69000	18.940	7.660	69.459
471	4.70000	18.800	7.667	69.587
472	4.71000	18.639	7.657	69.740
473	4.72000	18.466	7.633	69.912
474	4.73000	18.294	7.608	70.082
475	4.74000	18.097	7.575	70.279
476	4.75000	17.924	7.626	70.418
477	4.76000	17.700	7.620	70.628
478	4.77000	17.422	7.580	70.902
479	4.78000	17.168	7.583	71.135
480	4.79000	16.913	7.600	71.363
481	4.80000	16.644	7.686	71.572
482	4.81000	16.376	7.727	71.798
